C,C,W,W,W,D,D,G,UTIL
Nathan MacKinnon,Mika Zibanejad,Mikko Rantanen,Tyson Jost,Alexander Kerfoot,John Carlson,Jake Gardiner,Marc-Andre Fleury,J.T. Compher

Nazem Kadri,Derek Stepan,Mitchell Marner,Clayton Keller,Patrick Marleau,Shayne Gostisbehere,Keith Yandle,Henrik Lundqvist,Oliver Ekman-Larsson

Nathan MacKinnon,Derek Stepan,Mikko Rantanen,Gabriel Landeskog,Richard Panik,Tyson Barrie,Jake Gardiner,Antti Raanta,Alex Goligoski

Vincent Trocheck,Derek Stepan,Jakub Voracek,Jonathan Huberdeau,Clayton Keller,Erik Johnson,Dmitry Orlov,Braden Holtby,Denis Malgin

Vincent Trocheck,Denis Malgin,Claude Giroux,Jonathan Huberdeau,Travis Konecny,Morgan Rielly,Jake Gardiner,Marc-Andre Fleury,Dmitry Orlov

Auston Matthews,Nazem Kadri,Mitchell Marner,William Nylander,Zach Hyman,Keith Yandle,Erik Johnson,Braden Holtby,Blake Comeau

Auston Matthews,Sean Couturier,Claude Giroux,Travis Konecny,Zach Hyman,Ivan Provorov,Mike Matheson,Marc-Andre Fleury,Jimmy Vesey

Aleksander Barkov,Nicklas Backstrom,T.J. Oshie,Blake Comeau,Andre Burakovsky,John Carlson,Keith Yandle,Braden Holtby,Carl Soderberg

Nicklas Backstrom,Derek Stepan,Jakub Voracek,Clayton Keller,T.J. Oshie,Keith Yandle,Oliver Ekman-Larsson,Roberto Luongo,Andre Burakovsky

Nathan MacKinnon,Carl Soderberg,Mikko Rantanen,Gabriel Landeskog,Wayne Simmonds,Keith Yandle,Neal Pionk,Marc-Andre Fleury,Jordan Weal

Vincent Trocheck,Mika Zibanejad,Jonathan Huberdeau,Chris Kreider,Jesper Fast,Shayne Gostisbehere,Oliver Ekman-Larsson,Henrik Lundqvist,Jake Gardiner

Nathan MacKinnon,Nicklas Backstrom,Mikko Rantanen,Gabriel Landeskog,T.J. Oshie,Dmitry Orlov,Jakob Chychrun,Roberto Luongo,Samuel Girard

Evgeny Kuznetsov,Nicklas Backstrom,Alex Ovechkin,T.J. Oshie,Andre Burakovsky,Oliver Ekman-Larsson,Jake Gardiner,Antti Raanta,Neal Pionk

Auston Matthews,Nazem Kadri,Mitchell Marner,Patrick Marleau,Zach Hyman,Shayne Gostisbehere,Jake Gardiner,Marc-Andre Fleury,Neal Pionk

Evgeny Kuznetsov,Nolan Patrick,Alex Ovechkin,Jakub Voracek,Oskar Lindblom,Keith Yandle,Jake Gardiner,Marc-Andre Fleury,Brady Skjei

Auston Matthews,Evgeny Kuznetsov,Alex Ovechkin,Zach Hyman,Tom Wilson,Jake Gardiner,Dmitry Orlov,Braden Holtby,Blake Comeau

Mika Zibanejad,Nolan Patrick,Claude Giroux,Jakub Voracek,Chris Kreider,John Carlson,Erik Johnson,Marc-Andre Fleury,Oskar Lindblom

Auston Matthews,Nicklas Backstrom,Claude Giroux,T.J. Oshie,Zach Hyman,Erik Johnson,Neal Pionk,Marc-Andre Fleury,Andre Burakovsky

Sean Couturier,Derek Stepan,Claude Giroux,Jakub Voracek,Travis Konecny,Morgan Rielly,Erik Johnson,Henrik Lundqvist,Richard Panik

Nathan MacKinnon,Derek Stepan,Mikko Rantanen,Gabriel Landeskog,Tyson Jost,Keith Yandle,Mike Matheson,Roberto Luongo,Alexander Kerfoot

Aleksander Barkov,Sean Couturier,Claude Giroux,Travis Konecny,Nick Cousins,Keith Yandle,Aaron Ekblad,Braden Holtby,Christian Fischer

Evgeny Kuznetsov,Derek Stepan,Alex Ovechkin,Richard Panik,Tom Wilson,Tyson Barrie,Oliver Ekman-Larsson,Roberto Luongo,Alex Goligoski

Vincent Trocheck,Nicklas Backstrom,Jonathan Huberdeau,T.J. Oshie,Blake Comeau,Tyson Barrie,Erik Johnson,Marc-Andre Fleury,Denis Malgin

Aleksander Barkov,Mika Zibanejad,Chris Kreider,Jesper Fast,Blake Comeau,John Carlson,Shayne Gostisbehere,Marc-Andre Fleury,Carl Soderberg

Sean Couturier,Nazem Kadri,Claude Giroux,Travis Konecny,Patrick Marleau,Shayne Gostisbehere,Aaron Ekblad,Antti Raanta,Dmitry Orlov

Nathan MacKinnon,Dylan Strome,Mikko Rantanen,Jakub Voracek,Gabriel Landeskog,Tyson Barrie,Mike Matheson,Braden Holtby,Nick Cousins

Nathan MacKinnon,Mika Zibanejad,Mikko Rantanen,Chris Kreider,Jesper Fast,Keith Yandle,Aaron Ekblad,Henrik Lundqvist,Samuel Girard

Nathan MacKinnon,Derek Stepan,Claude Giroux,Gabriel Landeskog,Clayton Keller,Aaron Ekblad,Brady Skjei,Henrik Lundqvist,Richard Panik

Vincent Trocheck,Denis Malgin,Jakub Voracek,Jonathan Huberdeau,Oskar Lindblom,John Carlson,Keith Yandle,Roberto Luongo,Oliver Ekman-Larsson

Vincent Trocheck,Auston Matthews,Jonathan Huberdeau,Blake Comeau,Matt Nieto,Shayne Gostisbehere,Morgan Rielly,Braden Holtby,Carl Soderberg

Vincent Trocheck,Denis Malgin,Jonathan Huberdeau,William Nylander,Zach Hyman,John Carlson,Tyson Barrie,Braden Holtby,Alex Goligoski

Aleksander Barkov,Nazem Kadri,Clayton Keller,Patrick Marleau,Richard Panik,Erik Johnson,Mike Matheson,Braden Holtby,Derek Stepan

Nathan MacKinnon,Nicklas Backstrom,T.J. Oshie,Chris Kreider,Jesper Fast,Oliver Ekman-Larsson,Dmitry Orlov,Antti Raanta,Mika Zibanejad

Evgeny Kuznetsov,J.T. Compher,Alex Ovechkin,Jakub Voracek,Tyson Jost,Tyson Barrie,Dmitry Orlov,Marc-Andre Fleury,Tom Wilson

Vincent Trocheck,Sean Couturier,Claude Giroux,Jonathan Huberdeau,Travis Konecny,Erik Johnson,Alex Goligoski,Antti Raanta,Brady Skjei

Vincent Trocheck,Mika Zibanejad,Jakub Voracek,Jonathan Huberdeau,Chris Kreider,Aaron Ekblad,Brady Skjei,Marc-Andre Fleury,Denis Malgin

Auston Matthews,Mika Zibanejad,William Nylander,Zach Hyman,Jesper Fast,Shayne Gostisbehere,Keith Yandle,Antti Raanta,Oliver Ekman-Larsson

Evgeny Kuznetsov,Mika Zibanejad,Clayton Keller,Chris Kreider,Jesper Fast,Keith Yandle,Dmitry Orlov,Roberto Luongo,Derek Stepan

Sean Couturier,Dylan Strome,Claude Giroux,Mikko Rantanen,Gabriel Landeskog,Keith Yandle,Jake Gardiner,Antti Raanta,Travis Konecny

Auston Matthews,Sean Couturier,Jakub Voracek,William Nylander,Zach Hyman,Aaron Ekblad,Jake Gardiner,Marc-Andre Fleury,Oskar Lindblom

Auston Matthews,J.T. Compher,Mikko Rantanen,William Nylander,Zach Hyman,John Carlson,Aaron Ekblad,Braden Holtby,Tyson Jost

Nathan MacKinnon,Nolan Patrick,Jakub Voracek,Gabriel Landeskog,Zach Hyman,Tyson Barrie,Morgan Rielly,Marc-Andre Fleury,Oskar Lindblom

Vincent Trocheck,Derek Stepan,Jonathan Huberdeau,Clayton Keller,Richard Panik,Keith Yandle,Tyson Barrie,Roberto Luongo,Samuel Girard

Nazem Kadri,Carl Soderberg,Mikko Rantanen,Gabriel Landeskog,Mitchell Marner,Ivan Provorov,Mike Matheson,Braden Holtby,Patrick Marleau

