Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RW,Drake Batherson (30545500),Drake Batherson,30545500,W/UTIL,5300,OTT@NYI 10/26/2023 07:30PM ET,OTT,5.93
LW,Pavel Buchnevich (30545502),Pavel Buchnevich,30545502,W/UTIL,5200,STL@CGY 10/26/2023 09:00PM ET,STL,6.43
LW,Jonathan Huberdeau (30545504),Jonathan Huberdeau,30545504,W/UTIL,5200,STL@CGY 10/26/2023 09:00PM ET,CGY,7.81
D,Noah Hanifin (30545876),Noah Hanifin,30545876,D/UTIL,5200,STL@CGY 10/26/2023 09:00PM ET,CGY,8.57
C,Ryan Hartman (30545258),Ryan Hartman,30545258,C/UTIL,5200,MIN@PHI 10/26/2023 07:30PM ET,MIN,15
C,Mikael Backlund (30545260),Mikael Backlund,30545260,C/UTIL,5100,STL@CGY 10/26/2023 09:00PM ET,CGY,8.96
LW,Evander Kane (30545508),Evander Kane,30545508,W/UTIL,5100,NYR@EDM 10/26/2023 09:00PM ET,EDM,7.08
RW,Brandon Hagel (30545506),Brandon Hagel,30545506,W/UTIL,5100,SJ@TB 10/26/2023 07:00PM ET,TB,11.41
D,Mikhail Sergachev (30545878),Mikhail Sergachev,30545878,D/UTIL,5100,SJ@TB 10/26/2023 07:00PM ET,TB,8.7
LW,Andrew Mangiapane (30545510),Andrew Mangiapane,30545510,W/UTIL,5000,STL@CGY 10/26/2023 09:00PM ET,CGY,8.54
C,Matty Beniers (30545262),Matty Beniers,30545262,C/UTIL,5000,SEA@CAR 10/26/2023 07:00PM ET,SEA,4.71
D,Thomas Chabot (30545880),Thomas Chabot,30545880,D/UTIL,5000,OTT@NYI 10/26/2023 07:30PM ET,OTT,8.73
D,Jared Spurgeon (30545882),Jared Spurgeon,30545882,D/UTIL,5000,MIN@PHI 10/26/2023 07:30PM ET,MIN,0
RW,Bryan Rust (30545512),Bryan Rust,30545512,W/UTIL,5000,COL@PIT 10/26/2023 07:00PM ET,PIT,14.57
C,Mason McTavish (30545264),Mason McTavish,30545264,C/UTIL,4900,ANH@BOS 10/26/2023 07:00PM ET,ANH,9.27
LW,James van Riemsdyk (30545514),James van Riemsdyk,30545514,W/UTIL,4900,ANH@BOS 10/26/2023 07:00PM ET,BOS,9.88
D,Shayne Gostisbehere (30545884),Shayne Gostisbehere,30545884,D/UTIL,4900,WPG@DET 10/26/2023 07:00PM ET,DET,13.11
D,MacKenzie Weegar (30545886),MacKenzie Weegar,30545886,D/UTIL,4800,STL@CGY 10/26/2023 09:00PM ET,CGY,11.97
LW,Jamie Benn (30545516),Jamie Benn,30545516,W/UTIL,4800,TOR@DAL 10/26/2023 08:00PM ET,DAL,10
C,Vincent Trocheck (30545266),Vincent Trocheck,30545266,C/UTIL,4800,NYR@EDM 10/26/2023 09:00PM ET,NYR,4.97
D,Jacob Trouba (30545888),Jacob Trouba,30545888,D/UTIL,4800,NYR@EDM 10/26/2023 09:00PM ET,NYR,13.42
C,Brayden Schenn (30545268),Brayden Schenn,30545268,C/UTIL,4700,STL@CGY 10/26/2023 09:00PM ET,STL,3.88
D,Morgan Rielly (30545892),Morgan Rielly,30545892,D/UTIL,4700,TOR@DAL 10/26/2023 08:00PM ET,TOR,10.23
RW,Gabriel Vilardi (30545520),Gabriel Vilardi,30545520,W/UTIL,4700,WPG@DET 10/26/2023 07:00PM ET,WPG,8.03
D,Ivan Provorov (30545890),Ivan Provorov,30545890,D/UTIL,4700,CLS@MON 10/26/2023 07:00PM ET,CLS,11.82
RW,Valeri Nichushkin (30545518),Valeri Nichushkin,30545518,W/UTIL,4700,COL@PIT 10/26/2023 07:00PM ET,COL,9.3
D,Torey Krug (30545894),Torey Krug,30545894,D/UTIL,4600,STL@CGY 10/26/2023 09:00PM ET,STL,7.28
LW,Tyler Bertuzzi (30545526),Tyler Bertuzzi,30545526,W/UTIL,4600,TOR@DAL 10/26/2023 08:00PM ET,TOR,6.65
D,Jake Walman (30545896),Jake Walman,30545896,D/UTIL,4600,WPG@DET 10/26/2023 07:00PM ET,DET,9.2
C,Sean Couturier (30545270),Sean Couturier,30545270,C/UTIL,4600,MIN@PHI 10/26/2023 07:30PM ET,PHI,8.15
RW,Cam Atkinson (30545522),Cam Atkinson,30545522,W/UTIL,4600,MIN@PHI 10/26/2023 07:30PM ET,PHI,10.78
RW,Bobby Brink (30545524),Bobby Brink,30545524,W/UTIL,4600,MIN@PHI 10/26/2023 07:30PM ET,PHI,6.34
RW,Matt Coronato (30545528),Matt Coronato,30545528,W/UTIL,4500,STL@CGY 10/26/2023 09:00PM ET,CGY,4.5
D,Justin Faulk (30545900),Justin Faulk,30545900,D/UTIL,4500,STL@CGY 10/26/2023 09:00PM ET,STL,8.36
RW,Alex Iafallo (30545530),Alex Iafallo,30545530,W/UTIL,4500,WPG@DET 10/26/2023 07:00PM ET,WPG,11.57
RW,Andrew Copp (30545532),Andrew Copp,30545532,W/UTIL,4500,WPG@DET 10/26/2023 07:00PM ET,DET,12.7
C,Scott Laughton (30545272),Scott Laughton,30545272,C/UTIL,4500,MIN@PHI 10/26/2023 07:30PM ET,PHI,11.47
D,Devon Toews (30545898),Devon Toews,30545898,D/UTIL,4500,COL@PIT 10/26/2023 07:00PM ET,COL,8.3
D,Jaccob Slavin (30545902),Jaccob Slavin,30545902,D/UTIL,4400,SEA@CAR 10/26/2023 07:00PM ET,CAR,14.84
D,Darnell Nurse (30545904),Darnell Nurse,30545904,D/UTIL,4400,NYR@EDM 10/26/2023 09:00PM ET,EDM,8.95
C,J.T. Compher (30545274),J.T. Compher,30545274,C/UTIL,4400,WPG@DET 10/26/2023 07:00PM ET,DET,5.97
RW,Kyle Palmieri (30545536),Kyle Palmieri,30545536,W/UTIL,4400,OTT@NYI 10/26/2023 07:30PM ET,NYI,10.26
LW,Owen Tippett (30545534),Owen Tippett,30545534,W/UTIL,4400,MIN@PHI 10/26/2023 07:30PM ET,PHI,8.87
LW,Reilly Smith (30545538),Reilly Smith,30545538,W/UTIL,4400,COL@PIT 10/26/2023 07:00PM ET,PIT,9.22
LW,Adam Henrique (30545540),Adam Henrique,30545540,W/UTIL,4300,ANH@BOS 10/26/2023 07:00PM ET,ANH,4.24
C,Jesperi Kotkaniemi (30545276),Jesperi Kotkaniemi,30545276,C/UTIL,4300,SEA@CAR 10/26/2023 07:00PM ET,CAR,11.17
D,Tony DeAngelo (30545906),Tony DeAngelo,30545906,D/UTIL,4300,SEA@CAR 10/26/2023 07:00PM ET,CAR,5.91
D,Vince Dunn (30545908),Vince Dunn,30545908,D/UTIL,4300,SEA@CAR 10/26/2023 07:00PM ET,SEA,9.34
LW,David Perron (30545542),David Perron,30545542,W/UTIL,4300,WPG@DET 10/26/2023 07:00PM ET,DET,7.23
RW,Daniel Sprong (30545544),Daniel Sprong,30545544,W/UTIL,4300,WPG@DET 10/26/2023 07:00PM ET,DET,8.4
D,Hampus Lindholm (30545910),Hampus Lindholm,30545910,D/UTIL,4200,ANH@BOS 10/26/2023 07:00PM ET,BOS,5.45
C,Matt Duchene (30545280),Matt Duchene,30545280,C/UTIL,4200,TOR@DAL 10/26/2023 08:00PM ET,DAL,5.72
RW,Tyler Seguin (30545550),Tyler Seguin,30545550,W/UTIL,4200,TOR@DAL 10/26/2023 08:00PM ET,DAL,6.58
RW,Andre Burakovsky (30545546),Andre Burakovsky,30545546,W/UTIL,4200,SEA@CAR 10/26/2023 07:00PM ET,SEA,5.82
C,Filip Chytil (30545278),Filip Chytil,30545278,C/UTIL,4200,NYR@EDM 10/26/2023 09:00PM ET,NYR,10.4
RW,Lucas Raymond (30545548),Lucas Raymond,30545548,W/UTIL,4200,WPG@DET 10/26/2023 07:00PM ET,DET,8.3
D,Ryan Graves (30545912),Ryan Graves,30545912,D/UTIL,4200,COL@PIT 10/26/2023 07:00PM ET,PIT,7.48
RW,Ryan Strome (30545552),Ryan Strome,30545552,W/UTIL,4100,ANH@BOS 10/26/2023 07:00PM ET,ANH,8.55
D,Cam Fowler (30545914),Cam Fowler,30545914,D/UTIL,4100,ANH@BOS 10/26/2023 07:00PM ET,ANH,7.38
D,John Klingberg (30545916),John Klingberg,30545916,D/UTIL,4100,TOR@DAL 10/26/2023 08:00PM ET,TOR,6.5
C,Teuvo Teravainen (30545282),Teuvo Teravainen,30545282,C/UTIL,4100,SEA@CAR 10/26/2023 07:00PM ET,CAR,8.61
LW,Anders Lee (30545556),Anders Lee,30545556,W/UTIL,4100,OTT@NYI 10/26/2023 07:30PM ET,NYI,5.96
LW,Joel Farabee (30545554),Joel Farabee,30545554,W/UTIL,4100,MIN@PHI 10/26/2023 07:30PM ET,PHI,8.77
D,Pavel Mintyukov (30545918),Pavel Mintyukov,30545918,D/UTIL,4000,ANH@BOS 10/26/2023 07:00PM ET,ANH,7.6
C,Robert Thomas (30545284),Robert Thomas,30545284,C/UTIL,4000,STL@CGY 10/26/2023 09:00PM ET,STL,8.44
LW,Jakub Vrana (30545558),Jakub Vrana,30545558,W/UTIL,4000,STL@CGY 10/26/2023 09:00PM ET,STL,5.8
LW,Mathieu Joseph (30545560),Mathieu Joseph,30545560,W/UTIL,4000,OTT@NYI 10/26/2023 07:30PM ET,OTT,11.78
D,Travis Sanheim (30545920),Travis Sanheim,30545920,D/UTIL,4000,MIN@PHI 10/26/2023 07:30PM ET,PHI,11.38
